📺央视频道,#genre#
重庆卫视,http://120.55.49.231:8567/rtp/233.50.201.66:5140
重庆卫视,http://122.9.151.210:4649/rtp/238.255.2.78:5999
重庆卫视,http://111.8.224.6:8085/tsfile/live/1071_1.m3u8
重庆卫视,http://124.128.73.58:9901/tsfile/live/0142_1.m3u8?key=txiptv&playlive=1&authid=0
重庆卫视,http://121.24.98.232:8090/hls/78/index.m3u8
黑龙江卫视,http://120.55.49.231:8567/rtp/233.50.201.115:5140
黑龙江卫视,http://120.55.49.231:8567/rtp/233.50.201.42:5140
黑龙江卫视,http://122.9.151.210:4649/rtp/238.255.2.96:5999
黑龙江卫视,http://fangke.blueswords.com:9901/tsfile/live/0143_1.m3u8?key=txiptv&playlive=1&authid=0
黑龙江卫视,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1000000005000265029/index.m3u8?channel-id=ystenlive&Contentid=1000000005000265029&livemode=1&stbId=no
黑龙江卫视,http://124.128.73.58:9901/tsfile/live/0143_1.m3u8
吉林卫视,http://120.55.49.231:8567/rtp/233.50.201.48:5140
吉林卫视,http://122.9.151.210:4649/rtp/238.255.2.95:5999
吉林卫视,http://123.56.129.203:2341/rtp/225.1.8.153:8200
吉林卫视,http://60.12.183.46:9901/tsfile/live/0138_1.m3u8?key=txiptv&playlive=0&authid=0
吉林卫视,http://111.8.224.6:8085/tsfile/live/1032_1.m3u8
吉林卫视,http://58.216.229.130:9901/tsfile/live/0116_1.m3u8?key=txiptv&playlive=1&authid=0
辽宁卫视,http://120.55.49.231:8567/rtp/233.50.201.141:5140
辽宁卫视,http://120.55.49.231:8567/rtp/233.50.201.60:5140
辽宁卫视,http://122.9.151.210:4649/rtp/238.255.2.69:5999
辽宁卫视,http://58.48.37.158:1111/tsfile/live/0121_1.m3u8?key=txiptv&playlive=1&authid=0
辽宁卫视,http://219.159.194.176:8181/tsfile/live/0121_1.m3u8
辽宁卫视,http://36.35.16.98:9901/tsfile/live/0001_29.m3u8?key=txiptv&playlive=0&authid=0
山西卫视,http://120.55.49.231:8567/rtp/233.50.201.51:5140
山西卫视,http://122.9.151.210:4649/rtp/238.255.2.71:5999
山西卫视,http://123.56.129.203:2341/rtp/225.1.8.155:8172
山西卫视,http://58.57.21.166:9901/tsfile/live/0118_1.m3u8?key=txiptv&playlive=1&authid=0
山西卫视,http://58.57.21.166:9901/tsfile/live/0118_1.m3u8
山西卫视,http://111.61.236.247:9081/hls/47/index.m3u8
河北卫视,http://120.55.49.231:8567/rtp/233.50.201.140:5140
河北卫视,http://120.55.49.231:8567/rtp/233.50.201.50:5140
河北卫视,http://122.9.151.210:4649/rtp/238.255.2.77:5999
河北卫视,http://221.0.78.198:1681/hls/10242/index.m3u8
河北卫视,http://222.134.245.16:9901/tsfile/live/0117_1.m3u8?key=txiptv&playlive=1&authid=0
河北卫视,http://124.128.73.58:9901/tsfile/live/0117_1.m3u8
河南卫视,http://120.55.49.231:8567/rtp/233.50.201.144:5140
河南卫视,http://120.55.49.231:8567/rtp/233.50.201.44:5140
河南卫视,http://122.9.151.210:4649/rtp/238.255.2.74:5999
河南卫视,http://111.61.236.247:9081/hls/33/index.m3u8
河南卫视,http://49.232.131.30:99/dxxw.php?id=hnws
河南卫视,http://202.100.46.58:9901/tsfile/live/1032_1.m3u8?key=txiptv&playlive=1&authid=0
山东卫视,http://120.55.49.231:8567/rtp/233.50.201.105:5140
山东卫视,http://120.55.49.231:8567/rtp/233.50.201.64:5140
山东卫视,http://122.9.151.210:4649/rtp/238.255.2.97:5999
山东卫视,http://60.12.183.46:9901/tsfile/live/0125_1.m3u8?key=txiptv&playlive=0&authid=0
山东卫视,http://gslbservzqhsw.itv.cmvideo.cn/1000000001000016568/1.m3u8?channel-id=ystenlive&Contentid=1000000001000016568&livemode=1&stbId=3
山东卫视,http://219.159.194.176:8181/tsfile/live/0131_1.m3u8
江苏卫视,http://120.55.49.231:8567/rtp/233.50.201.106:5140
江苏卫视,http://120.55.49.231:8567/rtp/233.50.201.41:5140
江苏卫视,http://122.9.151.210:4649/rtp/238.255.2.104:5999
江苏卫视,http://123.129.70.178:9901/tsfile/live/0127_1.m3u8?key=txiptv&playlive=1&authid=0
江苏卫视,http://123.182.60.29:9002/hls/27/index.m3u8
江苏卫视,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1000000005000265030/index.m3u8?channel-id=ystenlive&Contentid=1000000005000265030&livemode=1&stbId=no
安徽卫视,http://120.55.49.231:8567/rtp/233.50.201.113:5140
安徽卫视,http://120.55.49.231:8567/rtp/233.50.201.62:5140
安徽卫视,http://122.9.151.210:4649/rtp/238.255.2.101:5999
安徽卫视,http://58.216.229.130:9901/tsfile/live/0130_1.m3u8?key=txiptv&playlive=1&authid=0
安徽卫视,http://121.24.98.232:8090/hls/81/index.m3u8
安徽卫视,http://58.57.21.166:9901/tsfile/live/0130_1.m3u8?key=txiptv&playlive=1&authid=0
浙江卫视,http://120.55.49.231:8567/rtp/233.50.200.231:5140
浙江卫视,http://120.55.49.231:8567/rtp/233.50.201.100:5140
浙江卫视,http://122.9.151.210:4649/rtp/238.255.2.100:5999
浙江卫视,http://58.19.38.162:9901/tsfile/live/1020_1.m3u8?key=txiptv&playlive=1&authid=0
浙江卫视,http://221.0.78.198:1681/hls/10231/index.m3u8
浙江卫视,https://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8
湖北卫视,http://120.55.49.231:8567/rtp/233.50.201.114:5140
湖北卫视,http://120.55.49.231:8567/rtp/233.50.201.43:5140
湖北卫视,http://122.9.151.210:4649/rtp/238.255.2.102:5999
湖北卫视,http://222.218.158.76:8181/tsfile/live/0132_1.m3u8
湖北卫视,http://58.57.21.166:9901/tsfile/live/0132_1.m3u8
湖北卫视,http://219.159.194.176:8181/tsfile/live/0132_1.m3u8
湖南卫视,http://120.55.49.231:8567/rtp/233.50.201.103:5140
湖南卫视,http://120.55.49.231:8567/rtp/233.50.201.52:5140
湖南卫视,http://122.9.151.210:4649/rtp/238.255.2.93:5999
湖南卫视,http://210.22.75.86:9901/tsfile/live/0128_1.m3u8?key=txiptv
湖南卫视,http://119.163.199.98:9901/tsfile/live/0017_1.m3u8
湖南卫视,http://36.35.16.98:9901/tsfile/live/0001_20.m3u8?key=txiptv&playlive=0&authid=0
江西卫视,http://120.55.49.231:8567/rtp/233.50.201.145:5140
江西卫视,http://120.55.49.231:8567/rtp/233.50.201.53:5140
江西卫视,http://122.9.151.210:4649/rtp/238.255.2.94:5999
江西卫视,http://222.218.158.76:8181/tsfile/live/0138_1.m3u8
江西卫视,http://116.117.105.198:8096/tsfile/live/0138_1.m3u8
江西卫视,http://171.8.138.74:85/tsfile/live/0138_1.m3u8?key=txiptv&playlive=1&authid=0
东南卫视,http://120.55.49.231:8567/rtp/233.50.201.146:5140
东南卫视,http://120.55.49.231:8567/rtp/233.50.201.58:5140
东南卫视,http://122.9.151.210:4649/rtp/238.255.2.103:5999
东南卫视,http://221.0.78.198:1681/hls/10240/index.m3u8
东南卫视,http://116.128.242.83:9901/tsfile/live/0127_1.m3u8?key=txiptv&playlive=1&authid=0
东南卫视,http://58.57.21.166:9901/tsfile/live/0137_1.m3u8?key=txiptv&playlive=1&authid=0
广东卫视,http://120.55.49.231:8567/rtp/233.50.200.187:5140
广东卫视,http://120.55.49.231:8567/rtp/233.50.201.56:5140
广东卫视,http://122.9.151.210:4649/rtp/238.255.2.59:5999
广东卫视,http://ygbh666.cn/aikmigu.php?id=gdws
广东卫视,http://60.223.224.176:8888/newlive/live/hls/20/live.m3u8
广东卫视,http://171.8.138.74:85/tsfile/live/0125_1.m3u8?key=txiptv&playlive=1&authid=0
深圳卫视,http://120.55.49.231:8567/rtp/233.50.201.101:5140
深圳卫视,http://120.55.49.231:8567/rtp/233.50.201.45:5140
深圳卫视,http://122.9.151.210:4649/rtp/238.255.2.61:5999
深圳卫视,http://202.100.46.58:9901/tsfile/live/1024_1.m3u8?key=txiptv&playlive=1&authid=0
深圳卫视,http://www.zzlag.top:9087/tsfile/live/0126_1.m3u8?key=txiptv
深圳卫视,http://124.116.183.146:9901/tsfile/live/0126_1.m3u8?key=txiptv
海南卫视,http://120.55.49.231:8567/rtp/233.50.201.55:5140
海南卫视,http://122.9.151.210:4649/rtp/238.255.2.58:5999
海南卫视,http://123.56.129.203:2341/rtp/225.1.8.158:8304
海南卫视,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000/5000000004000006211/index.m3u8?channel-id=bestzb&Contentid=5000000004000006211&livemode=1&stbId=no
海南卫视,http://58.254.14.139:808/hls/45/index.m3u8
海南卫视,http://123.138.22.30:9901/tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&authid=0
三沙卫视,http://122.9.151.210:4649/rtp/238.255.2.203:5999
三沙卫视,http://123.56.129.203:2341/rtp/225.1.8.78:4120
三沙卫视,http://123.56.129.203:4310/rtp/225.1.8.78:4120
三沙卫视,http://117.27.190.42:9998/tsfile/live/23250_1.m3u8?key=txiptv&playlive=1&authid=0
三沙卫视,http://220.249.114.102:9901/tsfile/live/1017_1.m3u8?key=txiptv&playlive=1&authid=0
三沙卫视,http://61.138.128.226:19901/tsfile/live/1020_1.m3u8?key=txiptv&playlive=1&authid=0
香港卫视,https://stream1.freetv.fun/5335c88a9a7d8b74173b491f480d4f94e8d3bd596af54478106aa2399e6c7917.ctv
香港卫视,http://anren.live/HK/BSJDUFpB.m3u8
香港卫视,https://stream1.freetv.fun/c751876ae5ceaa0d82b5cf2badc152342aa92a4b45bf504d12ee45966b2fc644.ctv
陕西卫视,http://120.55.49.231:8567/rtp/233.50.201.59:5140
陕西卫视,http://122.9.151.210:4649/rtp/238.255.2.81:5999
陕西卫视,http://123.56.129.203:2341/rtp/225.1.8.154:8140
陕西卫视,http://124.116.183.146:9901/tsfile/live/0136_1.m3u8?key=txiptv
陕西卫视,http://222.241.154.37:9901/tsfile/live/23048_1.m3u8?key=tvbox6_com&playlive=1&authid=0
陕西卫视,http://124.128.73.58:9901/tsfile/live/0136_1.m3u8?key=txiptv&playlive=1&authid=0
四川卫视,http://120.55.49.231:8567/rtp/233.50.201.139:5140
四川卫视,http://120.55.49.231:8567/rtp/233.50.201.61:5140
四川卫视,http://122.9.151.210:4649/rtp/238.255.2.76:5999
四川卫视,http://219.159.194.172:8181/tsfile/live/0123_1.m3u8
四川卫视,http://116.117.105.198:8096/tsfile/live/0123_1.m3u8
四川卫视,http://36.35.16.98:9901/tsfile/live/0001_4.m3u8?key=txiptv&playlive=0&authid=0
贵州卫视,http://120.55.49.231:8567/rtp/233.50.201.142:5140
贵州卫视,http://120.55.49.231:8567/rtp/233.50.201.69:5140
贵州卫视,http://122.9.151.210:4649/rtp/238.255.2.1:5999
贵州卫视,http://58.48.37.158:1111/tsfile/live/0120_1.m3u8?key=txiptv&playlive=1&authid=0
贵州卫视,http://219.159.194.172:8181/tsfile/live/0120_1.m3u8
贵州卫视,http://116.117.105.198:8096/tsfile/live/0120_1.m3u8
云南卫视,http://120.55.49.231:8567/rtp/233.50.200.115:5140
云南卫视,http://120.55.49.231:8567/rtp/233.50.201.46:5140
云南卫视,http://122.9.151.210:4649/rtp/238.255.2.63:5999
云南卫视,http://124.128.73.58:9901/tsfile/live/0119_1.m3u8?key=txiptv&playlive=1&authid=0
云南卫视,http://219.159.194.172:8181/tsfile/live/0119_1.m3u8
云南卫视,http://58.216.229.130:9901/tsfile/live/0119_1.m3u8?key=txiptv&playlive=1&authid=0
广西卫视,http://120.55.49.231:8567/rtp/233.50.201.49:5140
广西卫视,http://122.9.151.210:4649/rtp/238.255.2.64:5999
广西卫视,http://123.56.129.203:2341/rtp/225.1.8.152:8300
广西卫视,http://115.149.139.141:10001/tsfile/live/1037_1.m3u8?blog.ntnas.top
广西卫视,http://124.128.73.58:9901/tsfile/live/0113_1.m3u8?key=txiptv&playlive=1&authid=0
广西卫视,http://219.159.194.176:8181/tsfile/live/0113_1.m3u8
新疆卫视,http://122.9.151.210:4649/rtp/238.255.2.66:5999
新疆卫视,http://123.56.129.203:2341/rtp/225.1.8.161:8160
新疆卫视,http://122.9.151.210:887/rtp/238.255.2.66:5999
新疆卫视,http://58.216.229.130:9901/tsfile/live/0120_6.m3u8?key=txiptv&playlive=1&authid=0
新疆卫视,http://222.134.245.16:9901/tsfile/live/0110_1.m3u8?key=txiptv&playlive=1&authid=0
新疆卫视,http://119.163.63.188:9901/tsfile/live/0110_1.m3u8?key=txiptv&playlive=1&authid=0
内蒙古卫视,http://122.9.151.210:4649/rtp/238.255.2.53:5999
内蒙古卫视,http://123.56.129.203:2341/rtp/225.1.8.156:8176
内蒙古卫视,http://123.56.129.203:2604/rtp/225.1.8.156:8176
内蒙古卫视,http://111.61.236.247:9081/hls/48/index.m3u8
内蒙古卫视,http://59.48.75.130:3052/tsfile/live/0109_1.m3u8?key=txiptv&playlive=1&authid=0
内蒙古卫视,http://39.98.201.151:9090/udp/225.1.8.156:8176
西藏卫视,http://120.55.49.231:8567/rtp/233.50.201.70:5140
西藏卫视,http://123.56.129.203:2341/rtp/225.1.8.160:8164
西藏卫视,http://139.196.151.191:2051/rtp/239.45.1.231:5140
西藏卫视,http://php.jdshipin.com/xztv.php?id=ws
西藏卫视,http://222.218.158.76:8181/tsfile/live/0111_1.m3u8
西藏卫视,http://121.24.98.232:8090/hls/68/index.m3u8
青海卫视,http://120.55.49.231:8567/rtp/233.50.201.65:5140
青海卫视,http://122.9.151.210:4649/rtp/238.255.2.51:5999
青海卫视,http://123.56.129.203:2341/rtp/225.1.8.157:8184
青海卫视,http://110.53.52.63:8888/newlive/live/hls/38/live.m3u8
青海卫视,http://118.122.189.74:9901/tsfile/live/0140_1.m3u8?key=txiptv&playlive=1&authid=0
青海卫视,http://171.8.138.74:85/tsfile/live/0140_1.m3u8?key=txiptv&playlive=1&authid=0
甘肃卫视,http://122.9.151.210:4649/rtp/238.255.2.73:5999
甘肃卫视,http://123.56.129.203:2341/rtp/225.1.8.162:8188
甘肃卫视,http://139.196.151.191:6846/rtp/239.45.1.234:5140
甘肃卫视,http://58.216.229.130:9901/tsfile/live/0141_1.m3u8?key=txiptv&playlive=1&authid=0
甘肃卫视,http://58.57.21.166:9901/tsfile/live/0141_1.m3u8?key=txiptv&playlive=1&authid=0
甘肃卫视,http://39.98.201.151:9090/udp/225.1.8.162:8188
宁夏卫视,http://120.55.49.231:8567/rtp/233.50.201.57:5140
宁夏卫视,http://122.9.151.210:4649/rtp/238.255.2.75:5999
宁夏卫视,http://123.56.129.203:2341/rtp/225.1.8.159:8124
宁夏卫视,http://111.61.236.247:9081/hls/51/index.m3u8
宁夏卫视,http://202.100.46.58:9901/tsfile/live/1036_1.m3u8?key=txiptv&playlive=1&authid=0
宁夏卫视,http://119.163.63.188:9901/tsfile/live/0112_1.m3u8?key=txiptv&playlive=1&authid=0
