Name: CCTV-13, URL: http://120.55.49.231:4149/rtp/233.50.201.246:5140$浙江电信组播源, Date: 2024-03-02, Resolution: None, Response Time: 3221 ms
Name: CCTV-13, URL: http://120.55.49.231:4149/rtp/233.50.201.13:5140$浙江电信组播源, Date: 2024-03-02, Resolution: None, Response Time: 3221 ms
Name: CCTV-14, URL: http://122.9.151.210:2867/rtp/238.255.2.17:5999$贵州电信组播源, Date: 2024-03-02, Resolution: None, Response Time: 3275 ms
Name: CCTV-14, URL: http://123.56.129.203:8252/rtp/225.1.8.14:8132$北京电信组播源, Date: 2024-02-02, Resolution: None, Response Time: 3299 ms
Name: CCTV-14, URL: http://123.56.129.203:8252/rtp/225.1.8.114:8236$北京电信组播源, Date: 2024-02-02, Resolution: None, Response Time: 3299 ms
Name: CCTV-14, URL: http://120.55.49.231:4149/rtp/233.50.201.124:5140$浙江电信组播源, Date: 2024-03-02, Resolution: None, Response Time: 3221 ms
Name: CCTV-14, URL: http://120.55.49.231:4149/rtp/233.50.201.14:5140$浙江电信组播源, Date: 2024-03-02, Resolution: None, Response Time: 3221 ms
Name: CCTV-15, URL: http://122.9.151.210:2867/rtp/238.255.2.18:5999$贵州电信组播源, Date: 2024-03-02, Resolution: None, Response Time: 3275 ms
Name: CCTV-15, URL: http://123.56.129.203:8252/rtp/225.1.8.74:8136$北京电信组播源, Date: 2024-02-02, Resolution: None, Response Time: 3299 ms
Name: CCTV-15, URL: http://123.56.129.203:8252/rtp/225.1.8.115:8052$北京电信组播源, Date: 2024-02-02, Resolution: None, Response Time: 3299 ms
Name: CCTV-15, URL: http://120.55.49.231:4149/rtp/233.50.201.15:5140$浙江电信组播源, Date: 2024-03-02, Resolution: None, Response Time: 3221 ms
Name: 北京卫视, URL: http://122.9.151.210:2867/rtp/238.255.2.81:5999$贵州电信组播源, Date: 2024-03-02, Resolution: None, Response Time: 3275 ms
Name: 北京卫视, URL: http://123.56.129.203:8252/rtp/225.1.8.21:8002$北京电信组播源, Date: 2024-02-02, Resolution: None, Response Time: 3299 ms
Name: 北京卫视, URL: http://120.55.49.231:4149/rtp/233.50.201.107:5140$浙江电信组播源, Date: 2024-03-02, Resolution: None, Response Time: 3221 ms
Name: 北京卫视, URL: http://120.55.49.231:4149/rtp/233.50.201.40:5140$浙江电信组播源, Date: 2024-03-02, Resolution: None, Response Time: 3221 ms
Name: 东方卫视, URL: http://122.9.151.210:2867/rtp/238.255.2.98:5999$贵州电信组播源, Date: 2024-03-02, Resolution: None, Response Time: 3275 ms
Name: 东方卫视, URL: http://123.56.129.203:8252/rtp/225.1.8.147:8192$北京电信组播源, Date: 2024-02-02, Resolution: None, Response Time: 3299 ms
Name: 东方卫视, URL: http://120.55.49.231:4149/rtp/233.50.201.125:5140$浙江电信组播源, Date: 2024-03-02, Resolution: None, Response Time: 3221 ms
Name: 东方卫视, URL: http://120.55.49.231:4149/rtp/233.50.201.68:5140$浙江电信组播源, Date: 2024-03-02, Resolution: None, Response Time: 3221 ms
